player_id,avg,ab,do,tr,hr,rbi,bb,so,sb,cs,slg,obp
2001,0.279,244,14,1,12,41,9,28,3,3,0.492,0.298
2002,0.268,123,7,1,2,9,10,34,2,1,0.39,0.326
2003,0.312,497,29,6,17,74,84,133,19,10,0.497,0.409
2009,0.278,557,28,2,17,78,65,77,8,3,0.427,0.355
2010,0.274,259,15,3,6,33,37,40,4,3,0.425,0.372
2011,0.289,287,15,3,5,28,19,59,8,6,0.415,0.349
2015,0.312,584,34,5,38,124,84,87,11,3,0.582,0.399
2018,0.276,134,6,0,1,4,13,24,11,1,0.343,0.342
2022,0.294,622,41,7,15,79,29,80,8,3,0.455,0.325
2025,0.293,133,8,0,1,16,13,18,2,0,0.376,0.358
2030,0.266,413,27,2,9,49,31,62,3,3,0.407,0.319
2031,0.269,412,10,4,6,45,53,60,10,3,0.357,0.356
2036,0.304,540,33,1,34,111,109,90,19,7,0.557,0.424
2038,0.272,305,12,1,3,30,23,82,1,1,0.348,0.319
2047,0.273,293,16,1,18,41,18,52,1,1,0.519,0.318
2055,0.274,420,29,2,10,49,27,62,0,4,0.424,0.317
2056,0.314,630,41,2,22,108,51,126,13,3,0.49,0.364
2058,0.328,609,48,2,49,152,81,84,6,4,0.655,0.399
2059,0.276,58,5,3,0,7,3,12,3,0,0.466,0.317
2061,0.322,286,21,1,3,36,34,39,11,4,0.434,0.396
2065,0.272,349,23,0,4,39,15,73,3,0,0.372,0.312
2068,0.313,182,11,0,2,21,26,46,3,0,0.407,0.393
2071,0.314,299,17,1,13,52,31,50,3,1,0.508,0.387
2073,0.331,662,48,2,22,122,28,76,14,4,0.509,0.357
2074,0.325,646,51,2,20,88,64,113,50,8,0.503,0.403
2083,0.303,552,44,7,37,122,130,92,28,12,0.609,0.438
2086,0.282,181,13,2,2,28,15,36,6,1,0.409,0.35
2094,0.279,409,29,3,8,57,42,99,5,3,0.423,0.351
2101,0.3,530,34,0,19,98,52,97,11,8,0.472,0.371
2102,0.283,152,4,1,0,5,9,18,4,0,0.322,0.323
2103,0.291,347,17,7,14,48,30,95,4,5,0.501,0.348
2105,0.264,110,7,1,2,15,9,31,0,0,0.4,0.32
2108,0.282,216,14,4,10,42,22,43,5,5,0.523,0.349
2112,0.292,504,28,6,21,76,58,111,11,8,0.496,0.365
2116,0.28,261,16,5,3,22,18,27,6,2,0.414,0.325
2126,0.295,105,7,0,7,29,6,13,1,0,0.562,0.322
2127,0.306,523,17,6,5,55,14,38,22,6,0.39,0.331
2128,0.272,302,21,1,7,52,43,45,1,1,0.417,0.365
2129,0.319,645,28,4,46,144,40,89,5,9,0.589,0.362
2134,0.282,213,13,2,6,25,12,39,3,2,0.446,0.325
2142,0.321,604,31,1,14,68,79,88,10,4,0.445,0.402
2145,0.291,602,37,0,34,103,63,128,3,3,0.522,0.358
2146,0.305,554,41,1,23,102,72,97,1,0,0.507,0.384
2147,0.285,186,12,1,5,24,13,32,5,5,0.441,0.33
2150,0.307,166,11,2,3,23,10,34,4,3,0.452,0.361
2156,0.276,529,22,1,15,72,18,72,2,2,0.406,0.295
2157,0.276,602,27,6,6,32,73,59,15,6,0.37,0.357
2168,0.283,120,8,0,5,15,17,19,3,3,0.475,0.381
2171,0.299,67,5,0,2,14,1,6,0,0,0.463,0.304
2172,0.277,642,30,10,18,66,58,84,26,12,0.439,0.339
2176,0.327,452,29,1,28,89,44,108,7,6,0.582,0.388
2179,0.292,530,43,1,38,115,73,139,3,0,0.592,0.385
2183,0.29,420,21,8,7,44,56,61,26,10,0.429,0.371
2188,0.287,551,39,3,3,56,21,51,11,7,0.385,0.321
2194,0.285,635,35,8,19,67,73,105,36,9,0.455,0.363
2196,0.271,594,38,2,27,100,39,112,15,5,0.478,0.332
2198,0.307,599,42,1,25,91,57,114,7,5,0.506,0.368
2205,0.329,164,9,4,7,21,7,31,7,4,0.561,0.354
2207,0.296,537,39,3,19,82,43,77,20,6,0.486,0.353
2211,0.253,182,6,1,1,36,18,31,1,0,0.313,0.32
2212,0.296,467,34,4,15,76,44,102,14,12,0.482,0.359
2217,0.321,486,36,2,9,72,45,53,13,8,0.459,0.387
2223,0.283,407,23,1,9,52,25,39,0,0,0.41,0.328
2225,0.282,588,45,3,22,90,47,112,27,14,0.481,0.337
2227,0.253,146,9,0,3,14,11,28,0,1,0.377,0.306
2229,0.277,502,21,6,9,44,43,97,14,7,0.396,0.355
2232,0.273,161,7,2,1,13,23,26,0,1,0.36,0.366
2234,0.287,557,33,2,28,96,44,125,10,8,0.504,0.34
2235,0.273,505,44,2,13,73,39,70,6,6,0.446,0.327
2236,0.281,434,34,1,19,70,43,62,1,1,0.495,0.356
2237,0.305,555,27,1,44,121,63,146,7,6,0.595,0.397
2242,0.323,604,37,8,35,122,33,62,12,6,0.584,0.362
2245,0.295,562,28,0,27,110,81,102,2,2,0.489,0.384
2249,0.276,254,11,4,3,31,14,38,2,4,0.386,0.317
2250,0.279,678,28,7,8,49,42,89,23,6,0.376,0.325
2254,0.267,449,32,3,4,39,51,87,1,3,0.379,0.346
2257,0.318,606,50,2,45,157,46,126,2,1,0.63,0.366
2261,0.29,520,13,3,2,33,73,90,38,20,0.338,0.378
2263,0.309,595,39,3,17,89,93,56,4,7,0.471,0.401
2268,0.278,630,33,4,35,100,50,142,35,12,0.51,0.334
2270,0.27,356,18,1,14,49,56,80,6,3,0.444,0.372
2271,0.306,598,31,5,16,108,80,93,2,4,0.455,0.386
2273,0.288,583,41,2,18,89,85,123,2,2,0.458,0.386
2274,0.284,633,33,3,56,146,76,121,20,5,0.611,0.365
2275,0.271,542,28,1,10,60,24,78,13,8,0.382,0.304
2277,0.272,589,21,1,10,62,26,73,18,5,0.362,0.311
2279,0.324,623,37,7,38,109,42,95,11,9,0.589,0.371
2280,0.284,402,14,9,2,27,14,63,8,2,0.378,0.307
2282,0.277,264,15,1,1,22,24,25,1,4,0.352,0.337
2290,0.308,561,28,3,6,51,82,73,13,9,0.401,0.398
2300,0.314,105,6,0,6,17,3,17,0,0,0.543,0.327
2301,0.276,359,23,1,12,43,43,58,0,0,0.446,0.359
2303,0.286,329,8,0,12,62,34,61,2,1,0.419,0.351
2306,0.315,530,37,1,25,97,53,54,3,3,0.53,0.38
2308,0.304,115,8,1,3,18,11,26,3,0,0.47,0.377
2314,0.262,390,15,0,9,52,16,54,2,2,0.369,0.305
2321,0.303,211,15,0,7,35,17,37,3,3,0.474,0.355
2322,0.284,612,37,4,25,85,63,101,3,3,0.48,0.355
2324,0.351,131,5,0,8,23,14,34,0,0,0.573,0.414
2330,0.262,267,12,0,15,56,38,50,0,1,0.476,0.358
2334,0.255,255,7,1,9,33,13,53,2,2,0.396,0.29
2337,0.298,208,9,1,7,18,18,46,9,5,0.452,0.358
2351,0.29,417,13,5,4,49,65,63,21,5,0.374,0.385
2352,0.294,483,22,3,8,48,29,27,11,3,0.402,0.331
2353,0.306,196,16,1,8,31,21,40,0,0,0.52,0.374
2355,0.324,626,25,8,19,84,57,119,30,6,0.481,0.384
2360,0.28,304,8,4,2,21,26,22,10,6,0.352,0.335
2363,0.271,582,33,8,31,90,40,129,27,4,0.515,0.321
2366,0.313,601,29,5,34,107,96,93,16,6,0.547,0.404
2372,0.316,564,34,7,25,91,40,66,17,5,0.534,0.368
2373,0.276,250,13,0,2,27,8,30,0,0,0.352,0.303
2374,0.298,439,30,1,13,80,51,44,1,2,0.453,0.37
2376,0.28,540,39,2,21,88,76,98,9,3,0.476,0.363
2379,0.296,507,20,1,23,87,47,93,7,2,0.475,0.355
2382,0.323,257,7,3,16,46,8,46,0,2,0.56,0.349
2383,0.327,535,36,3,12,75,51,51,26,5,0.473,0.411
2384,0.297,526,37,3,31,128,48,110,9,4,0.555,0.359
2390,0.274,427,29,1,18,70,56,66,5,3,0.473,0.359
2394,0.279,578,25,7,11,68,34,61,10,5,0.403,0.318
2398,0.293,533,37,1,31,105,86,151,26,5,0.54,0.391
2399,0.276,584,39,2,12,66,39,88,10,3,0.411,0.325
2403,0.278,557,36,6,21,77,86,64,16,8,0.478,0.387
2405,0.324,299,16,3,0,29,9,51,9,7,0.398,0.344
2414,0.287,129,6,0,8,24,21,34,0,0,0.519,0.385
2416,0.256,313,15,3,8,45,17,44,2,1,0.399,0.304
2425,0.282,600,31,6,12,64,87,80,54,10,0.413,0.371
2428,0.284,489,21,1,34,106,30,85,5,3,0.54,0.328
2431,0.316,434,29,0,6,54,42,47,9,6,0.424,0.382
2437,0.278,209,15,1,6,29,15,36,8,2,0.445,0.342
2440,0.321,109,8,0,1,13,13,12,0,1,0.422,0.39
2441,0.293,75,6,1,1,11,7,11,0,0,0.44,0.354
2448,0.244,254,18,1,4,20,28,42,6,2,0.37,0.318
2453,0.322,556,46,1,29,102,106,96,1,1,0.565,0.429
2459,0.264,87,9,1,0,7,13,21,1,0,0.391,0.363
2460,0.281,531,33,1,28,123,61,83,2,1,0.505,0.355
2465,0.273,275,15,0,3,32,37,47,2,1,0.36,0.359
2467,0.292,614,38,7,7,59,41,107,19,10,0.41,0.335
2472,0.284,564,33,0,19,81,79,118,7,2,0.443,0.371
2474,0.299,509,21,0,70,147,162,155,1,0,0.752,0.47
2483,0.277,213,12,0,5,35,19,32,1,4,0.404,0.336
2487,0.299,97,7,0,1,12,11,17,0,0,0.402,0.373
2499,0.279,580,26,5,30,90,30,112,16,10,0.497,0.316
2502,0.296,582,20,4,8,53,72,84,13,1,0.385,0.38
2505,0.309,472,27,2,1,40,32,52,1,0,0.381,0.35
2507,0.308,39,2,0,2,7,4,8,0,0,0.513,0.372
2509,0.294,534,27,0,9,59,79,83,3,3,0.395,0.383
2513,0.246,171,10,0,4,20,17,36,0,1,0.374,0.312
2526,0.297,448,6,6,1,20,44,56,37,7,0.344,0.361
2530,0.257,175,9,0,4,18,10,33,0,0,0.377,0.3
2531,0.27,611,36,8,23,83,36,108,2,2,0.468,0.314
2532,0.317,602,40,2,24,116,57,103,15,1,0.51,0.372
2534,0.315,607,28,13,7,66,89,96,45,12,0.438,0.403
2537,0.354,557,36,4,22,93,96,73,2,2,0.551,0.447
2544,0.282,535,25,2,14,65,28,53,9,7,0.415,0.326
2548,0.277,278,20,0,9,46,39,72,1,0,0.446,0.371
2556,0.321,165,7,2,0,21,20,11,5,4,0.388,0.395
2557,0.296,619,26,1,43,121,79,91,11,7,0.565,0.379
2558,0.278,572,27,2,34,119,48,134,8,2,0.51,0.333
2569,0.336,149,12,0,6,32,15,28,1,1,0.537,0.404
2571,0.274,647,25,9,9,59,38,70,5,6,0.382,0.313
2579,0.328,561,38,1,32,111,58,80,1,0,0.57,0.39
2588,0.268,358,23,0,17,63,47,92,0,1,0.475,0.35
2591,0.275,69,9,1,2,18,2,20,0,0,0.522,0.296
2599,0.29,321,13,1,5,47,55,49,8,3,0.383,0.395
2601,0.294,571,35,2,45,145,76,121,5,3,0.599,0.377
2605,0.331,118,9,0,2,12,5,16,0,0,0.458,0.368
2606,0.29,259,17,1,9,39,37,57,0,0,0.467,0.377
2613,0.282,517,18,2,3,31,48,78,41,22,0.342,0.347
2630,0.31,686,35,5,42,124,45,121,46,13,0.56,0.36
2634,0.321,579,40,4,21,91,32,88,9,0,0.513,0.358
2639,0.29,601,45,4,31,110,93,141,14,7,0.532,0.391
2649,0.3,463,28,1,26,88,90,100,0,1,0.533,0.41
2652,0.285,316,14,2,2,30,16,47,0,0,0.361,0.325
2657,0.31,29,5,0,0,4,1,6,0,0,0.483,0.333
2664,0.314,169,7,2,3,20,25,32,4,2,0.432,0.421
2665,0.305,522,36,1,19,84,49,80,3,1,0.487,0.359
2670,0.31,174,14,1,11,35,6,42,1,1,0.592,0.344
2674,0.302,437,27,2,22,85,95,46,22,7,0.524,0.428
2682,0.296,186,11,0,16,46,24,47,0,1,0.613,0.381
2686,0.276,370,15,3,11,55,34,110,5,3,0.422,0.343
2696,0.308,643,20,0,66,158,73,171,18,9,0.647,0.377
2699,0.273,384,27,4,4,43,45,62,11,2,0.396,0.356
2706,0.294,523,33,1,26,106,59,93,8,3,0.511,0.37
2712,0.242,422,25,2,14,54,38,89,0,1,0.41,0.31
2715,0.279,516,29,3,12,55,67,77,51,18,0.417,0.377
2717,0.259,274,14,1,11,34,35,74,0,1,0.438,0.353
2725,0.279,573,34,1,22,92,49,81,9,7,0.457,0.332
2730,0.259,282,18,0,8,35,24,38,2,3,0.408,0.32
2735,0.287,0.202,16,2,8,26,24,57,7,3,0.505,0.367
2736,0.278,431,27,0,11,72,52,93,1,0,0.418,0.352
2744,0.293,440,34,2,30,85,90,141,1,0,0.584,0.413
2752,0.286,199,18,1,12,35,16,45,0,2,0.568,0.338
2761,0.279,129,13,1,5,20,22,34,0,0,0.512,0.382
2762,0.253,221,13,0,7,33,17,45,2,2,0.407,0.309
2763,0.272,573,28,4,50,119,79,121,11,4,0.597,0.363
2764,0.337,609,31,2,40,115,61,144,0,0,0.591,0.402
2772,0.311,637,39,7,7,45,54,46,22,16,0.427,0.386
2774,0.288,576,30,6,2,50,62,64,37,12,0.372,0.358
2778,0.257,338,15,2,6,46,30,68,1,1,0.367,0.317
2779,0.363,454,46,3,23,67,64,61,14,4,0.63,0.445
2780,0.316,528,41,3,12,62,47,65,19,7,0.473,0.372
2788,0.285,309,16,0,10,46,15,38,0,0,0.434,0.317
2790,0.28,347,18,2,0,27,59,53,7,1,0.434,0.386
2797,0.279,563,32,1,22,85,42,102,22,8,0.456,0.335
2800,0.3,357,21,2,17,58,30,57,16,7,0.513,0.363
2801,0.283,226,14,0,6,29,29,60,2,1,0.425,0.372
2804,0.339,499,30,5,26,97,74,81,15,9,0.575,0.422
2805,0.305,266,19,2,10,44,17,48,11,5,0.504,0.352
2809,0.252,325,17,1,9,44,24,56,2,1,0.394,0.308
2810,0.322,90,6,0,2,12,4,8,2,4,0.456,0.354
2812,0.278,338,9,9,1,17,29,69,26,12,0.367,0.337
2815,0.282,655,26,7,3,45,38,94,58,8,0.357,0.319
2824,0.31,536,48,1,14,83,47,94,2,4,0.481,0.364
2825,0.285,452,24,1,8,43,45,32,42,13,0.396,0.355
2826,0.27,592,40,2,27,108,44,127,15,7,0.481,0.328
2828,0.276,392,18,2,13,66,41,58,3,4,0.431,0.345
